gene	rxnID	formula	annotation_uniprot	main_met_mnx	other_met	annotation_SGD	ec_SGD	protein_name_SGD	ec_uniprot	protein_name_uniprot	Annotation_score	reaction_uniprot	annotation_kegg	ec_kegg	annotation_biocyc	annotation_reactome	TC_number	annotation_TCDB	subunit
YIL048W	r_3893	phosphatidyl-L-serine (1-16:0, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-16:0, 2-16:1)[ce]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	MNXM78605	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YIL048W	r_3894	phosphatidyl-L-serine (1-16:1, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-16:1, 2-16:1)[ce]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	NA	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YIL048W	r_3895	phosphatidyl-L-serine (1-18:0, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-18:0, 2-16:1)[ce]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	MNXM78765	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YIL048W	r_3896	phosphatidyl-L-serine (1-18:1, 2-16:1)[erm] <=> phosphatidyl-L-serine (1-18:1, 2-16:1)[ce]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	MNXM78797	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YIL048W	r_3897	phosphatidyl-L-serine (1-16:0, 2-18:1)[erm] <=> phosphatidyl-L-serine (1-16:0, 2-18:1)[ce]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	MNXM680894	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YIL048W	r_3898	phosphatidyl-L-serine (1-16:1, 2-18:1)[erm] <=> phosphatidyl-L-serine (1-16:1, 2-18:1)[ce]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	MNXM78642	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YIL048W	r_3899	phosphatidyl-L-serine (1-18:0, 2-18:1)[erm] <=> phosphatidyl-L-serine (1-18:0, 2-18:1)[ce]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	MNXM680500	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YIL048W	r_3900	phosphatidyl-L-serine (1-18:1, 2-18:1)[erm] <=> phosphatidyl-L-serine (1-18:1, 2-18:1)[ce]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	MNXM32173	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YBR192W	r_3959	CMP[m] <=> CMP[mm]	NA	MNXM31	none	"Mitochondrial pyrimidine nucleotide transporter; imports pyrimidine nucleoside triphosphates and exports pyrimidine nucleoside monophosphates; member of the mitochondrial carrier family"	NA	Mitochondrial pyrimidine nucleotide transporter	NA	Mitochondrial carrier protein RIM2	4 out of 5	NA	"RIM2, PYT1; Rim2p"	NA	Replication In Mitochondria	NA	2.A.29.10.4	2.A.29.10.4 Mitochondrial carrier protein RIM2	FALSE
YBR192W	r_3960	CTP[m] <=> CTP[mm]	NA	MNXM63	none	"Mitochondrial pyrimidine nucleotide transporter; imports pyrimidine nucleoside triphosphates and exports pyrimidine nucleoside monophosphates; member of the mitochondrial carrier family"	NA	Mitochondrial pyrimidine nucleotide transporter	NA	Mitochondrial carrier protein RIM2	4 out of 5	NA	"RIM2, PYT1; Rim2p"	NA	Replication In Mitochondria	NA	2.A.29.10.4	2.A.29.10.4 Mitochondrial carrier protein RIM2	FALSE
YER053C	r_3961	phosphate[m] <=> phosphate[mm]	 Transport of phosphate groups from the cytosol to the mitochondrial matrix. {ECO:0000269|PubMed:11328608, ECO:0000269|PubMed:14756774}.	MNXM9	none	"Mitochondrial copper and phosphate carrier; imports copper and inorganic phosphate into mitochondria; functionally redundant with Mir1p but less abundant than Mir1p under normal conditions; expression is induced at high temperature"	NA	Mitochondrial copper and phosphate carrier	NA	Mitochondrial phosphate carrier protein 2 (Phosphate transport protein 2) (PTP 2) (Pi carrier isoform 2) (mPic 2)	5 out of 5	NA	"PIC2; Cu/Pi carrier"	NA	PI Carrier	NA	2.A.29.4.4	Mitochondrial phosphate carrier protein 2 OS=Saccharomyces cerevisiae GN=PIC2 PE=1 SV=1	FALSE
YJR077C	r_3961	phosphate[m] <=> phosphate[mm]	 Transport of phosphate groups from the cytosol to the mitochondrial matrix.	MNXM9	none	"Mitochondrial phosphate carrier; imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated"	NA	Mitochondrial phosphate carrier	NA	Mitochondrial phosphate carrier protein (Mitochondrial import receptor) (Phosphate transport protein) (PTP) (mPic 1) (p32) [Cleaved into: Mitochondrial phosphate carrier protein, N-terminally processed]	5 out of 5	NA	"MIR1; Mir1p"	NA	MIR1	"TIM22 complex inserts proteins into inner membrane;TIM22 complex inserts proteins into inner membrane"	2.A.29.4.3	Mitochondrial phosphate carrier protein OS=Saccharomyces cerevisiae GN=MIR1 PE=1 SV=1	FALSE
YLR348C	r_3961	phosphate[m] <=> phosphate[mm]	 Mitochondrial dicarboxylic transporter catalyzing the exchange of dicarboxylic acids like malate and succinate for inorganic phosphate. Required for growth on ethanol and acetate. {ECO:0000269|PubMed:10027973, ECO:0000269|PubMed:8831951, ECO:0000269|PubMed:9020177, ECO:0000269|PubMed:9559855}.	MNXM9	none	"Mitochondrial dicarboxylate carrier; integral membrane protein, catalyzes a dicarboxylate-phosphate exchange across the inner mitochondrial membrane, transports cytoplasmic dicarboxylates into the mitochondrial matrix"	NA	Mitochondrial dicarboxylate carrier	NA	Mitochondrial dicarboxylate transporter (DTP) (Dicarboxylate carrier 1)	5 out of 5	NA	"DIC1; Dic1p"	NA	DIcarboxylate Carrier	"Sulfate is exported to the cytosol in exchange for dicarboxylate;FA anion flip-flops to the opposite surface;FA anion flip-flops to the opposite surface;FA anion flip-flops to the opposite surface;FA anion flip-flops to the opposite surface;FA anion flip-flops to the opposite surface;FA anion diffuses laterally to UCP;FA anion diffuses laterally to UCP;FA anion diffuses laterally to UCP;FA anion diffuses laterally to UCP;FA anion diffuses laterally to UCP;The FA anion diffuses away laterally from UCP;The FA anion diffuses away laterally from UCP;The FA anion diffuses away laterally from UCP;The FA anion diffuses away laterally from UCP;The FA anion diffuses away laterally from UCP;Protons are translocated from the intermembrane space to the matrix;Protons are translocated from the intermembrane space to the matrix;Protons are translocated from the intermembrane space to the matrix;Protons are translocated from the intermembrane space to the matrix;Protons are translocated from the intermembrane space to the matrix;malate [mitochondrial matrix] + alpha-ketoglutarate [cytosol] <=> malate [cytosol] + alpha-ketoglutarate [mitochondrial matrix];malate [mitochondrial matrix] + orthophosphate [cytosol] <=> malate [cytosol] + orthophosphate [mitochondrial matrix];Exchange of alpha-ketoglutarate (2-oxoglutarate) and malate across the inner mitochondrial membrane"	2.A.29.2.3	BELONGS TO THE MITOCHONDRIAL CARRIER FAMILY - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJR152W	r_4361	H+[e] + Gly-Met[e] <=> H+[c] + Gly-Met[c]	 Component of the allantoate transport system.	MNXM55287	h+	"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression"	NA	Allantoate permease	NA	Allantoate permease	4 out of 5	NA	"DAL5, UREP1; allantoate permease"	NA	Degradation of Allantoin	NA	2.A.1.14.4	Allantoate permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR093W	r_4361	H+[e] + Gly-Met[e] <=> H+[c] + Gly-Met[c]	 Uptake of small peptides.	MNXM55287	h+	"Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p"	NA	Integral membrane peptide transporter	NA	Peptide transporter PTR2 (Peptide permease PTR2)	4 out of 5	NA	"PTR2; Ptr2p"	NA	Peptide TRansport	"Proton-coupled di- and tri-peptide cotransport;Proton-coupled di- and tri-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.17.2.2	PEPTIDE TRANSPORTER PTR2 (PEPTIDE PERMEASE PTR2) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJR152W	r_4387	H+[e] + Ala-Asp[e] <=> H+[c] + Ala-Asp[c]	 Component of the allantoate transport system.	MNXM40494	h+	"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression"	NA	Allantoate permease	NA	Allantoate permease	4 out of 5	NA	"DAL5, UREP1; allantoate permease"	NA	Degradation of Allantoin	NA	2.A.1.14.4	Allantoate permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR093W	r_4387	H+[e] + Ala-Asp[e] <=> H+[c] + Ala-Asp[c]	 Uptake of small peptides.	MNXM40494	h+	"Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p"	NA	Integral membrane peptide transporter	NA	Peptide transporter PTR2 (Peptide permease PTR2)	4 out of 5	NA	"PTR2; Ptr2p"	NA	Peptide TRansport	"Proton-coupled di- and tri-peptide cotransport;Proton-coupled di- and tri-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.17.2.2	PEPTIDE TRANSPORTER PTR2 (PEPTIDE PERMEASE PTR2) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YDL245C	r_4395	D-tagatose[e] <=> D-tagatose[c]	 Probable glucose transporter.	MNXM92401	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol, sorbitol and xylitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT15	5 out of 5	NA	"HXT15, HLT2; hexose transporter HXT15"	NA	HeXose Transporter	NA	2.A.1.1.107	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1	FALSE
YDR342C	r_4395	D-tagatose[e] <=> D-tagatose[c]	 High-affinity glucose transporter.	MNXM92401	none	"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	High-affinity hexose transporter HXT7	5 out of 5	NA	"HXT7; hexose transporter HXT7"	NA	HeXose Transporter	NA	2.A.1.1.31	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1	FALSE
YDR343C	r_4395	D-tagatose[e] <=> D-tagatose[c]	 High-affinity glucose transporter.	MNXM92401	none	"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	High-affinity hexose transporter HXT6	4 out of 5	NA	"HXT6; hexose transporter HXT6"	NA	HeXose Transporter	NA	NA	NA	FALSE
YDR345C	r_4395	D-tagatose[e] <=> D-tagatose[c]	 Low-affinity glucose transporter.	MNXM92401	none	"Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog, HXT5, that arose from the whole genome duplication"	NA	Low affinity glucose transporter of the major facilitator superfamily	NA	Low-affinity glucose transporter HXT3	5 out of 5	NA	"HXT3; hexose transporter HXT3"	NA	HeXose Transporter	NA	NA	NA	FALSE
YEL069C	r_4395	D-tagatose[e] <=> D-tagatose[c]	 Probable glucose transporter.	MNXM92401	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol and sorbitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; induced by non-fermentable carbon sources; induced in low glucose, repressed in high glucose; HXT13 has a paralog, HXT17, that arose from a segmental duplication"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT13	4 out of 5	NA	"HXT13, HLT1; hexose transporter HXT13"	NA	HeXose Transporter	NA	2.A.1.1.110	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1	FALSE
YFL011W	r_4395	D-tagatose[e] <=> D-tagatose[c]	 Probable glucose transporter.	MNXM92401	none	"Putative hexose transporter; expressed at low levels and expression is repressed by glucose"	NA	Putative hexose transporter	NA	Hexose transporter HXT10	4 out of 5	NA	"HXT10; hexose transporter HXT10"	NA	HeXose Transporter	NA	2.A.1.1.5	Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YHR092C	r_4395	D-tagatose[e] <=> D-tagatose[c]	 Low-affinity glucose transporter. Can also transport xylose. {ECO:0000269|PubMed:17180689}.	MNXM92401	none	"High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1)	5 out of 5	NA	"HXT4, LGT1, RAG1; hexose transporter HXT4"	NA	HeXose Transporter	NA	2.A.1.1.30	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YHR094C	r_4395	D-tagatose[e] <=> D-tagatose[c]	 Low-affinity glucose transporter. HXT1 is as well involved in the transport of mannose.	MNXM92401	none	"Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog, HXT6, what arose from the whole genome duplication"	NA	Low-affinity glucose transporter of the major facilitator superfamily	NA	Low-affinity glucose transporter HXT1	5 out of 5	NA	"HXT1, HOR4; hexose transporter HXT1"	NA	HeXose Transporter	NA	2.A.1.1.108	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1	FALSE
YHR096C	r_4395	D-tagatose[e] <=> D-tagatose[c]	 Probable glucose transporter.	MNXM92401	none	"Hexose transporter with moderate affinity for glucose; induced in the presence of non-fermentable carbon sources, induced by a decrease in growth rate, contains an extended N-terminal domain relative to other HXTs; HXT5 has a paralog, HXT3, that arose from the whole genome duplication"	NA	Hexose transporter with moderate affinity for glucose	NA	Probable glucose transporter HXT5	4 out of 5	NA	"HXT5; hexose transporter HXT5"	NA	HeXose Transporter	NA	NA	NA	FALSE
YJL214W	r_4395	D-tagatose[e] <=> D-tagatose[c]	 Probable glucose transporter.	MNXM92401	none	"Protein of unknown function with similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose"	NA	Protein of unknown function with similarity to hexose transporters	NA	Hexose transporter HXT8	4 out of 5	NA	"HXT8; hexose transporter HXT8"	NA	HeXose Transporter	NA	NA	NA	FALSE
YJL219W	r_4395	D-tagatose[e] <=> D-tagatose[c]	 Probable glucose transporter.	MNXM92401	none	"Putative hexose transporter that is nearly identical to Hxt11p; has similarity to major facilitator superfamily (MFS) transporters, expression of HXT9 is regulated by transcription factors Pdr1p and Pdr3p"	NA	Putative hexose transporter that is nearly identical to Hxt11p	NA	Hexose transporter HXT9	4 out of 5	NA	"HXT9; hexose transporter HXT9"	NA	HeXose Transporter	NA	NA	NA	FALSE
YJR158W	r_4395	D-tagatose[e] <=> D-tagatose[c]	 Probable glucose transporter.	MNXM92401	none	"Putative transmembrane polyol transporter; supports growth on and uptake of sorbitol with moderate affinity and mannitol with lower affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is repressed by high levels of glucose"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT16	4 out of 5	NA	"HXT16, HLT3; hexose transporter HXT16"	NA	HeXose Transporter	NA	NA	NA	FALSE
YMR011W	r_4395	D-tagatose[e] <=> D-tagatose[c]	 High-affinity glucose transporter. Is only indispensable for growth on low glucose-containing media, because S.cerevisiae possesses other sugar transporters.	MNXM92401	none	"High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose"	NA	High-affinity glucose transporter of the major facilitator superfamily	NA	High-affinity glucose transporter HXT2	4 out of 5	NA	"HXT2; hexose transporter HXT2"	NA	HeXose Transporter	NA	2.A.1.1.111	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1	FALSE
YNR072W	r_4395	D-tagatose[e] <=> D-tagatose[c]	 Probable glucose transporter.	MNXM92401	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol and sorbitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; induced by raffinose and galactose at pH 7.7 versus pH 4.7, repressed by high levels of glucose; HXT17 has a paralog, HXT13, that arose from a segmental duplication"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT17	4 out of 5	NA	"HXT17, HLT4; hexose transporter HXT17"	NA	HeXose Transporter	NA	NA	NA	FALSE
YOL156W	r_4395	D-tagatose[e] <=> D-tagatose[c]	 Probable glucose transporter.	MNXM92401	none	"Hexose transporter; capable of transporting a broad range of substrates including: glucose, fructose, mannose and galactose; polyol transporter that supports the growth on and uptake of xylitol with low affinity when overexpressed in a strain deleted for hexose family members; nearly identical in sequence to Hxt9p; has similarity to major facilitator superfamily (MFS) transporters; involved in pleiotropic drug resistance"	NA	Hexose transporter	NA	Hexose transporter HXT11 (Low-affinity glucose transporter LGT3)	4 out of 5	NA	"HXT11, LGT3; hexose transporter HXT11"	NA	HeXose Transporter	NA	2.A.1.1.105	Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1	FALSE
YJR152W	r_4398	H+[e] + Ala-Gln[e] <=> H+[c] + Ala-Gln[c]	 Component of the allantoate transport system.	MNXM40495	h+	"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression"	NA	Allantoate permease	NA	Allantoate permease	4 out of 5	NA	"DAL5, UREP1; allantoate permease"	NA	Degradation of Allantoin	NA	2.A.1.14.4	Allantoate permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR093W	r_4398	H+[e] + Ala-Gln[e] <=> H+[c] + Ala-Gln[c]	 Uptake of small peptides.	MNXM40495	h+	"Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p"	NA	Integral membrane peptide transporter	NA	Peptide transporter PTR2 (Peptide permease PTR2)	4 out of 5	NA	"PTR2; Ptr2p"	NA	Peptide TRansport	"Proton-coupled di- and tri-peptide cotransport;Proton-coupled di- and tri-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.17.2.2	PEPTIDE TRANSPORTER PTR2 (PEPTIDE PERMEASE PTR2) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YJR152W	r_4402	H+[e] + Ala-Thr[e] <=> H+[c] + Ala-Thr[c]	 Component of the allantoate transport system.	MNXM40497	h+	"Allantoate permease; ureidosuccinate permease; also transports dipeptides, though with lower affinity than for allantoate and ureidosuccinate; expression is constitutive but sensitive to nitrogen catabolite repression"	NA	Allantoate permease	NA	Allantoate permease	4 out of 5	NA	"DAL5, UREP1; allantoate permease"	NA	Degradation of Allantoin	NA	2.A.1.14.4	Allantoate permease - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR093W	r_4402	H+[e] + Ala-Thr[e] <=> H+[c] + Ala-Thr[c]	 Uptake of small peptides.	MNXM40497	h+	"Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p"	NA	Integral membrane peptide transporter	NA	Peptide transporter PTR2 (Peptide permease PTR2)	4 out of 5	NA	"PTR2; Ptr2p"	NA	Peptide TRansport	"Proton-coupled di- and tri-peptide cotransport;Proton-coupled di- and tri-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Proton-coupled histidine and di-peptide cotransport;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins"	2.A.17.2.2	PEPTIDE TRANSPORTER PTR2 (PEPTIDE PERMEASE PTR2) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
